gene_symbol,ensembl_id,token_id
ENSG00000285754,ENSG00000285754,58055
ENSG00000285755,ENSG00000285755,58056
ENSG00000285756,ENSG00000285756,58057
ENSG00000285758,ENSG00000285758,58058
ENSG00000285759,ENSG00000285759,58059
ENSG00000285760,ENSG00000285760,58060
ENSG00000285761,ENSG00000285761,58061
ENSG00000285763,ENSG00000285763,58062
ENSG00000285764,ENSG00000285764,58063
FAM90A23,ENSG00000285765,58064
ENSG00000285766,ENSG00000285766,58065
LINC02849,ENSG00000285768,58066
ENSG00000285769,ENSG00000285769,58067
ENSG00000285770,ENSG00000285770,58068
ENSG00000285771,ENSG00000285771,58069
ENSG00000285772,ENSG00000285772,58070
ENSG00000285773,ENSG00000285773,58071
SAMD4A-AS1,ENSG00000285774,58072
ENSG00000285775,ENSG00000285775,58073
5S_rRNA-7,ENSG00000285776,58074
ENSG00000285777,ENSG00000285777,58075
ENSG00000285778,ENSG00000285778,58076
ENSG00000285779,ENSG00000285779,58077
ENSG00000285780,ENSG00000285780,58078
ENSG00000285781,ENSG00000285781,58079
ENSG00000285782,ENSG00000285782,58080
ENSG00000285783,ENSG00000285783,58081
ENSG00000285784,ENSG00000285784,58082
ENSG00000285785,ENSG00000285785,58083
ENSG00000285786,ENSG00000285786,58084
ENSG00000285788,ENSG00000285788,58085
ENSG00000285789,ENSG00000285789,58086
ENSG00000285790,ENSG00000285790,58087
ENSG00000285791,ENSG00000285791,58088
ENSG00000285792,ENSG00000285792,58089
ANAPC1P2-1,ENSG00000285793,58090
ENSG00000285794,ENSG00000285794,58091
ENSG00000285796,ENSG00000285796,58092
ENSG00000285797,ENSG00000285797,58093
ENSG00000285798,ENSG00000285798,58094
ENSG00000285799,ENSG00000285799,58095
ENSG00000285800,ENSG00000285800,58096
ENSG00000285801,ENSG00000285801,58097
ENSG00000285802,ENSG00000285802,58098
ENSG00000285803,ENSG00000285803,58099
ENSG00000285804,ENSG00000285804,58100
ENSG00000285805,ENSG00000285805,58101
ENSG00000285806,ENSG00000285806,58102
ENSG00000285807,ENSG00000285807,58103
LINC02797,ENSG00000285808,58104
ENSG00000285809,ENSG00000285809,58105
ENSG00000285810,ENSG00000285810,58106
ENSG00000285811,ENSG00000285811,58107
ENSG00000285812,ENSG00000285812,58108
ENSG00000285813,ENSG00000285813,58109
FAM90A14,ENSG00000285814,58110
GET1-SH3BGR,ENSG00000285815,58111
ENSG00000285816,ENSG00000285816,58112
ENSG00000285817,ENSG00000285817,58113
ENSG00000285818,ENSG00000285818,58114
ENSG00000285819,ENSG00000285819,58115
ENSG00000285820,ENSG00000285820,58116
ENSG00000285821,ENSG00000285821,58117
ENSG00000285822,ENSG00000285822,58118
LINC02793,ENSG00000285823,58119
ENSG00000285824,ENSG00000285824,58120
CCDC15-DT,ENSG00000285825,58121
ENSG00000285826,ENSG00000285826,58122
ENSG00000285827,ENSG00000285827,58123
ENSG00000285829,ENSG00000285829,58124
ENSG00000285830,ENSG00000285830,58125
ENSG00000285831,ENSG00000285831,58126
ENSG00000285833,ENSG00000285833,58127
ENSG00000285834,ENSG00000285834,58128
ENSG00000285835,ENSG00000285835,58129
ENSG00000285836,ENSG00000285836,58130
ENSG00000285837,ENSG00000285837,58131
ENSG00000285838,ENSG00000285838,58132
ENSG00000285839,ENSG00000285839,58133
ENSG00000285840,ENSG00000285840,58134
ENSG00000285841,ENSG00000285841,58135
ENSG00000285842,ENSG00000285842,58136
SCYGR9,ENSG00000285843,58137
KCNQ5-DT,ENSG00000285844,58138
ENSG00000285845,ENSG00000285845,58139
ENSG00000285846,ENSG00000285846,58140
ENSG00000285847,ENSG00000285847,58141
ENSG00000285848,ENSG00000285848,58142
ENSG00000285849,ENSG00000285849,58143
ENSG00000285850,ENSG00000285850,58144
ENSG00000285851,ENSG00000285851,58145
ENSG00000285852,ENSG00000285852,58146
ENSG00000285853,ENSG00000285853,58147
ENSG00000285854,ENSG00000285854,58148
ENSG00000285855,ENSG00000285855,58149
ENSG00000285856,ENSG00000285856,58150
ENSG00000285857,ENSG00000285857,58151
ENSG00000285858,ENSG00000285858,58152
ENSG00000285859,ENSG00000285859,58153
ENSG00000285860,ENSG00000285860,58154
ENSG00000285861,ENSG00000285861,58155
ENSG00000285862,ENSG00000285862,58156
ENSG00000285863,ENSG00000285863,58157
ENSG00000285864,ENSG00000285864,58158
ENSG00000285865,ENSG00000285865,58159
LINC02852,ENSG00000285866,58160
ENSG00000285867,ENSG00000285867,58161
ENSG00000285868,ENSG00000285868,58162
LINC02858,ENSG00000285869,58163
ENSG00000285870,ENSG00000285870,58164
ENSG00000285871,ENSG00000285871,58165
ENSG00000285872,ENSG00000285872,58166
ENSG00000285873,ENSG00000285873,58167
ENSG00000285876,ENSG00000285876,58168
ENSG00000285877,ENSG00000285877,58169
ENSG00000285878,ENSG00000285878,58170
ENSG00000285879,ENSG00000285879,58171
ENSG00000285880,ENSG00000285880,58172
ENSG00000285881,ENSG00000285881,58173
ENSG00000285882,ENSG00000285882,58174
ENSG00000285883,ENSG00000285883,58175
ENSG00000285884,ENSG00000285884,58176
ENSG00000285885,ENSG00000285885,58177
ENSG00000285886,ENSG00000285886,58178
ENSG00000285887,ENSG00000285887,58179
ENSG00000285888,ENSG00000285888,58180
